domain,specification,repeat,fold,n_train,n_test,train_prompts,test_prompts,r2,rmse,mae
pooled,H+D,2,4,1194,296,400,99,0.2492782050394553,0.4276649045837631,0.3187582398417112
pooled,H+D,3,0,1190,300,399,100,0.254657648119301,0.41429708480368577,0.33042873397504213
pooled,H+D,3,1,1190,300,399,100,0.23706281263094364,0.43033977403118956,0.316724446814291
pooled,H+D,3,2,1191,299,399,100,0.27259308031565177,0.4489044153746496,0.3226257554061035
pooled,H+D,3,3,1193,297,399,100,0.2325587218302203,0.511906598963126,0.3528122148839921
pooled,H+D,3,4,1196,294,400,99,0.25957066751493985,0.5470967450882221,0.36047600359677484
pooled,H+D,4,0,1190,300,399,100,0.24040378748292557,0.5635529281530016,0.3671361403046986
pooled,H+D,4,1,1190,300,399,100,0.2539494590273125,0.4798704287603181,0.3439391131481857
pooled,H+D,4,2,1190,300,399,100,0.26744454392167827,0.4767591219821576,0.3370086302286844
pooled,H+D,4,3,1194,296,399,100,0.2579952048757014,0.41125698793847293,0.3109136099036289
pooled,H+D,4,4,1196,294,400,99,0.22205922270850853,0.42374902066153664,0.32415358387192617
pooled,H+D,5,0,1194,296,399,100,0.3200632766972953,0.4384512579479312,0.3139446742443201
pooled,H+D,5,1,1190,300,399,100,0.2752522470841213,0.4152318514019457,0.3162167517543022
pooled,H+D,5,2,1191,299,399,100,0.2583213173952913,0.48051372501263445,0.33794711913406417
pooled,H+D,5,3,1190,300,399,100,0.25289912394592695,0.5029087608378915,0.3556273994541646
pooled,H+D,5,4,1195,295,400,99,0.20064907800229992,0.512332254297648,0.35469140133465576
pooled,H+D,6,0,1192,298,399,100,0.28528386412664997,0.41991655470840167,0.32083999706917765
pooled,H+D,6,1,1193,297,399,100,0.28803827809313276,0.5190383240985318,0.3608789006133592
pooled,H+D,6,2,1190,300,399,100,0.21874449416561614,0.47173715489018797,0.3393024961635323
pooled,H+D,6,3,1191,299,399,100,0.31304823536695914,0.4707126038846659,0.3308088618154131
pooled,H+D,6,4,1194,296,400,99,0.17101340046201086,0.4685528740931411,0.3275614170022818
pooled,H+D,7,0,1190,300,399,100,0.23490085385566506,0.4455517533837384,0.3373143279992499
pooled,H+D,7,1,1191,299,399,100,0.24328931613742,0.4252600084832739,0.3171638734054197
pooled,H+D,7,2,1194,296,399,100,0.2999444366636713,0.45302035001614416,0.3078988240416291
pooled,H+D,7,3,1191,299,399,100,0.22380819953741793,0.5272563643195394,0.37370124319983383
pooled,H+D,7,4,1194,296,400,99,0.27060606641884866,0.5026687357865021,0.3450622200886041
pooled,H+D,8,0,1192,298,399,100,0.37222565560944665,0.4321332960955536,0.31338340446845653
pooled,H+D,8,1,1190,300,399,100,0.2203869814788978,0.4997876195340239,0.36325178658788115
pooled,H+D,8,2,1193,297,399,100,0.26284261401010456,0.512931989122446,0.34903411120185684
pooled,H+D,8,3,1192,298,399,100,0.26208991981545815,0.4252794237579004,0.31030191309792826
pooled,H+D,8,4,1193,297,400,99,0.1532752320335904,0.4832543151486628,0.34213355208336066
pooled,H+D,9,0,1193,297,399,100,0.2604059743941085,0.39515153218700605,0.3102312390727684
pooled,H+D,9,1,1190,300,399,100,0.26739740586790894,0.4808708030281476,0.33932355140067283
pooled,H+D,9,2,1190,300,399,100,0.22664892255027747,0.5059690121870276,0.3506180427503663
pooled,H+D,9,3,1192,298,399,100,0.26293154755855985,0.5010559997713203,0.3413974253201309
pooled,H+D,9,4,1195,295,400,99,0.1998153612760437,0.4807329545856843,0.3420237989156401
pooled,H+D,10,0,1193,297,399,100,0.2613860168716582,0.5088647794100689,0.34224970270923083
pooled,H+D,10,1,1190,300,399,100,0.2279752907967164,0.5040994168419787,0.34158449707694055
pooled,H+D,10,2,1190,300,399,100,0.3133180779210656,0.4703259440118591,0.35104255694046116
pooled,H+D,10,3,1194,296,399,100,0.153026994603623,0.42748587125804616,0.33023774509671083
pooled,H+D,10,4,1193,297,400,99,0.25865432169308344,0.45659768060308253,0.31785668640149045
pooled,H+D,11,0,1192,298,399,100,0.33879396418330554,0.4189798111622851,0.2990512851994971
pooled,H+D,11,1,1192,298,399,100,0.18507520125393961,0.510614808630992,0.35675628269886905
pooled,H+D,11,2,1190,300,399,100,0.28833643564010414,0.4524179839351281,0.3297152269738705
pooled,H+D,11,3,1193,297,399,100,0.31540221174638905,0.43261798431272663,0.3145953794041455
pooled,H+D,11,4,1193,297,400,99,0.18338279540755853,0.5369569290014803,0.38356903440929346
pooled,H+D,12,0,1191,299,399,100,0.22943916537740872,0.4911440639392621,0.34907685642037417
pooled,H+D,12,1,1194,296,399,100,0.18525503929074083,0.4003012750287015,0.3156397891218682
pooled,H+D,12,2,1190,300,399,100,0.31015341933256757,0.46818715371611497,0.3344850052744625
pooled,H+D,12,3,1192,298,399,100,0.2522477763001707,0.5501995799511308,0.3570266106663056
pooled,H+D,12,4,1193,297,400,99,0.2372884531747279,0.45144360215506246,0.3297490042733049
pooled,H+D,13,0,1191,299,399,100,0.16752154801113806,0.5348794179040209,0.3830606440686532
pooled,H+D,13,1,1191,299,399,100,0.2563079872560575,0.47220334964931926,0.33162542205122575
pooled,H+D,13,2,1190,300,399,100,0.31866413609684197,0.4137848301994969,0.32053240038827374
pooled,H+D,13,3,1192,298,399,100,0.27512264412539744,0.5030827591790206,0.3293703379715762
pooled,H+D,13,4,1196,294,400,99,0.2736038813162147,0.42736216395944354,0.3143114463716095
pooled,H+D,14,0,1193,297,399,100,0.3108410643198627,0.4325450462206108,0.3108182387731853
pooled,H+D,14,1,1191,299,399,100,0.2664687990631034,0.42517086029626766,0.3089322574508575
pooled,H+D,14,2,1191,299,399,100,0.2565961816359693,0.45295530775185344,0.3235149312035869
pooled,H+D,14,3,1192,298,399,100,0.24138897633106848,0.5223833410530446,0.3790305229265507
pooled,H+D,14,4,1193,297,400,99,0.21404374996585163,0.5188511985702366,0.3579918095030553
pooled,H+D,15,0,1190,300,399,100,0.24933791274064743,0.5068384758259807,0.3669851670549383
